processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
JAGWI007-11	WI-JAG-007	1861268		WI-JAG-007	Research Collection of Victor Gonzalez		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus			Julio A. Genaro		Cramer, 1777					JA Genaro							A	M	S						18.2162	-66.4943	Coordinates from country centroid						Puerto Rico		Culebra Island	Punta Soldado		1048349	http://www.boldsystems.org/pics/JAGWI/WI-JAG-007+1288328236.jpg	Dorsal	adult	Julio A Genaro		No Rights Reserved	Caribbean Natural History Group	Julio A Genaro
JAGWI013-11	WI-JAG-013	1861274		WI-JAG-013	Research Collection of Victor Gonzalez		BOLD:ACG2034	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	353493	Danaus cleophile			Julio A. Genaro		Godart, 1819					JA Genaro							A	M	S						19.176	-71.05		100					Dominican Republic		Parque Nacional A Bermudez, Anton Sape Bueno			1048355	http://www.boldsystems.org/pics/JAGWI/WI-JAG-013+1288332266.jpg	Dorsal	adult	Julio A Genaro		No Rights Reserved	Caribbean Natural History Group	Julio A Genaro
JAGWI017-11	WI-JAG-017	1861278		WI-JAG-017	Research Collection of Victor Gonzalez		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Julio A. Genaro		Cramer, 1775					A Lopez, A Perez, JA Genaro							A	F	S														Dominican Republic	Pedernales	Parque Nacional Jaragua			1048359	http://www.boldsystems.org/pics/JAGWI/WI-JAG-017+1288332510.jpg	Dorsal	adult	Julio A Genaro		No Rights Reserved	Caribbean Natural History Group	Julio A Genaro
KHCBT1100-16	CCDB03529_C05	7314189		KHC39495	Smithsonian Tropical Research Institute, Center for Tropical Forest Science, Khao Chong, Arthropod Laboratory		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Pitoon Kongnoo	morphological	Cramer, 1779		To Be Vouchered:Holdup/Private	leg		Kongnoo,Tongrod, Rienkaw & Panmeng					KHC	Netting	Adult			Forest			LEDANA-133000025	HC-KHC-MAY2014---	7.53333	99.7833			236				Thailand	Trang		Khao Chong	Khao Chong area	2971068|2971067	http://www.boldsystems.org/pics/KHCBT/KHC39495v+1407442106.JPG|http://www.boldsystems.org/pics/KHCBT/KHC39495d+1407442106.JPG	Ventral|Dorsal	|	|	|	No Rights Reserved|No Rights Reserved	|	Master Khao Chong|Master Khao Chong
KHCBT1197-16	CCDB03530_G06	7314286		KHC39600	Smithsonian Tropical Research Institute, Center for Tropical Forest Science, Khao Chong, Arthropod Laboratory		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Pitoon Kongnoo	morphological	Cramer, 1779		To Be Vouchered:Holdup/Private	leg		Kongnoo,Tongrod, Rienkaw & Panmeng					KHC	Netting	Adult			Forest			LEDANA-133000025	HC-KHC-AUG2014---	7.53333	99.7833			236				Thailand	Trang		Khao Chong	Khao Chong area	2971778|2971780	http://www.boldsystems.org/pics/KHCBT/KHC39600d+1408735586.JPG|http://www.boldsystems.org/pics/KHCBT/KHC39600v+1408735586.JPG	Dorsal|Ventral	|	|	|	No Rights Reserved|No Rights Reserved	|	Master Khao Chong|Master Khao Chong
LEGI104-10	USNM ENT 00645903	1391991	USNM ENT 00645903	USNM ENT 00645903	Smithsonian Institution		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis			Legi Sam		Fabricius, 1775					L.Sam & F.Kimbeng							A	F	S				BNYMP005	Secondary forest	-5.25	145.267			50				Papua New Guinea	Madang	Usino Bundi District	Wanang Conservation Area	Secondary forest									
LEGI113-10	USNM ENT 00645912	1392000	USNM ENT 00645912	USNM ENT 00645912	Smithsonian Institution		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis			Legi Sam		Fabricius, 1775					L.Sam & F.Kimbeng							A	F	S				BNYMP005	Open areas	-5.25	145.267			50				Papua New Guinea	Madang	Usino Bundi District	Wanang Conservation Area	Open areas									
LEPAR956-14	MACN-Bar-Lep-ct 06023	4567603	MACN-En 14530		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Ezequiel O. Nunez Bustos		Cramer, 1775					Ezequiel Nunez Bustos							adult		S						-26.3051	-58.83			72				Argentina	Formosa	Departamento Laishi	Ea. El Bagual	Reserva Ecologica									
LEPMA207-15	LepMala207	6499682	57264		NTNU University Museum, Department of Natural History		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Kaare H. Aagaard	morphology	Linnaeus, 1758			leg		Jon Suul							adult								-15.694	34.732							Malawi		Southern Region	Blantyre district	Mpatamanga Gorge	2734401	http://www.boldsystems.org/pics/LEPMA/LepMala207+1446436948.JPG	Dorsal	Adult	NTNU University Museum, Department of Natural History	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	NTNU University Museum, Department of Natural History	Aina Maerk Aspaas
LEPPA057-11	MACN-Bar-Lep-ct 03137	2169755	MACN-Bar-Lep 03137		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAZ7818	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	172067	Danaus erippus			Ezequiel O. Nunez Bustos		Cramer, 1775					Pablo Tubaro							A	M	S						-35.13	-57.38			15				Argentina	Buenos Aires	Partido de Magdalena	Estancia El Destino										
