processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMNC57025-20	MN727332	12446800		MN727332	Mined from GenBank, NCBI		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia					Cramer, 1779																																									
GBMNC57125-20	MH635351	12446900		MH635351	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.24	79.26							India													
GBMNC57134-20	MH635342	12446909		MH635342	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.16	79.21							India													
GBMNC57136-20	MH635340	12446911		MH635340	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.16	79.21							India													
GBMNC57140-20	MH635336	12446915		MH635336	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.99	78.28							India													
GBMNE4252-21	MT726490	14183990	MT726490		Mined from GenBank, NCBI		BOLD:ADR8965	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																												Nigeria													
GWOSA841-10	BC ZSM Lep 36707	1488688	BC ZSM Lep 36707	BC ZSM Lep 36707	SNSB, Zoologische Staatssammlung Muenchen		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Axel Hausmann		Linnaeus, 1758					M. Seizmair							A	F	S				Subspecies aegyptius		25.7166	32.6021			80				Egypt				Medinet 6th octobre, SE city border	823645	http://www.boldsystems.org/pics/GWOSA/BC_ZSM_Lep_36707+1272292312.JPG	Dorsal		Axel Hausmann	2010	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen	ZSM Photography Team
JAGWI003-11	WI-JAG-003	1861264		WI-JAG-003	Research Collection of Victor Gonzalez		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Julio A. Genaro		Linnaeus, 1758					A Perez, OH Garrido							A	F	S														Puerto Rico	Ponce	Hacienda Paraiso, Real Anon			1048345	http://www.boldsystems.org/pics/JAGWI/WI-JAG-003+1288328420.jpg	Dorsal	adult	Julio A Genaro		No Rights Reserved	Caribbean Natural History Group	Julio A Genaro
LEGI124-10	USNM ENT 00645923	1392011	USNM ENT 00645923	USNM ENT 00645923	Smithsonian Institution		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis			Legi Sam		Fabricius, 1775					L.Sam & F.Kimbeng							A	F	S				BNYMP005	Secondary forest	-5.25	145.267			50				Papua New Guinea	Madang	Usino Bundi District	Wanang Conservation Area	Secondary forest									
LNOA1003-16	MACN-Bar-Lep-ct 08108	7351597	MACN-Bar-Lep 08108		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAZ7818	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	172067	Danaus erippus			Ezequiel O. Nunez Bustos		Cramer, 1775					P. Tubaro							adult	F	S						-27.2977	-65.8459			800				Argentina	Tucuman	Departamento Chicligasta	Parque Nacional Campo de los Alisos	Paraje La Jaya									
LOFLC168-06	06-FLOR-2048	267817		06-FLOR-2048	Centre for Biodiversity Genomics		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus					Cramer, 1775					P.D.N. Hebert, J. deWaard														day net collection	27.183	-81.3514			51				United States	Florida	Highlands Co.	Archbold Biological Station	off Main Dr.	143530	http://www.boldsystems.org/pics/LOFLC/LOFLC168-06+1165596474.jpg	Dorsal	Dorsal	CBG Photography Group	2010	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
LOQTI427-11	gvc16498-1L	1953563	gvc16498		Centre for Biodiversity Genomics		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis			Graeme V. Cocks		Fabricius, 1775					G. Cocks							A						malaise trap		-19.2828	146.801			10				Australia	Queensland	Townsville		Hermit Park	1248101	http://www.boldsystems.org/pics/LOQTI/gvc16498+1312388106.jpg	Dorsal		Graeme V. Cocks	2010	CreativeCommons - Attribution Non-Commercial		Graeme Cocks
LSER075-06	2005-TASER-SBP-2075	230449		2005-TASER-SBP-2075	Serengeti Wildlife Research Centre		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758					A. Sinclair														Common tiger									Tanzania		Serengeti		Nyas									
LYPAP536-09	MAL-02630	1143035	L-31977	L-31977	El Colegio de la Frontera Sur		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Emigdio May		Linnaeus, 1758					Emigdio May							A		S				plexippus		18.591	-89.258			250				Mexico	Campeche			El Chorro, Ejido Nuevo Becal									
MEUNH069-17	MEUNAH-0069	7570991		MEUNAH-0069	Universidad Nacional Autonoma de Honduras		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758		Vouchered:Registered Collection	Leg		Dorian Arguijo															14.0852	-87.1663							Honduras	Francisco Morazan	Tegucigalpa	UNAH										
MHMYK1078-11	10-SRNP-70830	1956881	10-SRNP-70830	10-SRNP-70830	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen												DHJ:ACG										10.997	-85.3967			470				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Pitilla	Estacion Quica	1762548	http://www.boldsystems.org/pics/MHMYK/10-SRNP-70830-DHJ530593+1345487232.jpg	Specimen		Daniel H. Janzen	2012	CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen
MHMYL8056-16	16-SRNP-36032	7359032	16-SRNP-36032	16-SRNP-36032	University of Pennsylvania		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							Dunia Garcia							adult	F	S						10.9047	-85.468			820				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Cacao	Rancho Harold									
MHMYN4787-14	14-SRNP-70332	4808635	14-SRNP-70332	14-SRNP-70332	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen																						11.016	-85.3805			380				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Pitilla	Medrano	2449315|2449316	http://www.boldsystems.org/pics/MHMYN/14-SRNP-70332-DHJ585318+1412621864.jpg|http://www.boldsystems.org/pics/MHMYN/14-SRNP-70332-DHJ585319+1412621864.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2014|2014	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYS761-12	12-SRNP-13182	2821510	12-SRNP-13182	12-SRNP-13182	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen																						10.8352	-85.6248			285				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Santa Rosa	Corta Fuegos Naranjo	1987814|1987817	http://www.boldsystems.org/pics/MHMYS/12-SRNP-13182-DHJ562868+1365548462.jpg|http://www.boldsystems.org/pics/MHMYS/12-SRNP-13182-DHJ562869+1365548462.jpg	Adult|Adult	|	Daniel H. Janzen|Daniel H. Janzen	2013|2013	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
SAMOA115-17	CB_MOS03	8338923	CB_MOS04	CB_MOS03	National University of Samoa		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Claudia Bruschini	morphological	Linnaeus, 1758			leg		V. Vaurasi, A. Timoteo, C. Bruschini							adult		S						-13.715	-172.596			9				Samoa		Savaii		Sala`iua									
SAMPA1814-20	BC-MNHN-LEP00979	11943854		BC-MNHN-LEP00979	Museum national d'Histoire naturelle		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus					Rodolphe Rougerie		Kluk, 1802					R. Rougerie							Adult		S						-16.4007	45.2968			100				Madagascar		Namoroka Tsingy National Park		Old rice-field, Tsingy entrance									
SZCBP461-15	SCBP1461	6383043		SCBP1461	Chinese Academy of Sciences, Kunming Institute of Zoology		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758					Sing Kong Wah, John James Wilson							Adult								22.558	114.147							China	Guangdong	Shenzhen		Donghu Park									
SZCBP472-15	SCBP1472	6383054		SCBP1472	Chinese Academy of Sciences, Kunming Institute of Zoology		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758					Sing Kong Wah, John James Wilson							Adult								22.558	114.147							China	Guangdong	Shenzhen		Donghu Park									
TBGS042-09	NBCJ033	1086885		NBCJ033	University of Guelph		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																												Philippines					434049	http://www.boldsystems.org/pics/TBGS/IMG_9958+1240597364.JPG	Dorsal		CBG Photography Group	2009	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Paola Pierossa
UNI51010-17	Sm17R16	8161077		Sm17R16	Palomar College		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Paul D.N. Hebert		Linnaeus, 1758		To Be Vouchered:Holdup/Private	Leg		Lauren Wilson							Adult			Chaparral				::meta:{"specimen":["Lauren Wilson"],"image":["Lauren Wilson"],"trace_upload":["Lauren Wilson"],"sequencing_run_site":["Generic Commercial Lab"],"sequence_upload":["Lauren Wilson"]}::endMeta:Butterfly	33.1518	-117.181			182				United States	California				3164135|3164134	http://www.boldsystems.org/pics/UNI51/P7130161+1500496415.JPG|http://www.boldsystems.org/pics/UNI51/P7130160+1500496357.JPG	|	|	|	2017|2017	CreativeCommons - Attribution Share-Alike|CreativeCommons - Attribution Share-Alike	Palomar College|Palomar College	Jim Gilardi|Jim Gilardi
USLEP1517-10	10BBLEP-01517	1552642	10BBLEP-01517	L#2010AZ-041	Centre for Biodiversity Genomics		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus					Cramer, 1775					Biobus 2010							A		S				Catalina SP	Freehand Sampling|Very windy, partially cloudy|hilly area with wildflowers	32.4249	-110.909			825				United States	Arizona	Catalina SP	Trailhead	Desert	832874	http://www.boldsystems.org/pics/USLEP/IMG_3106+1279027100.JPG	Dorsal		CBG Photography Group	2010	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Alison Forde
XAB109-04	04HBL005109	31819			Centre for Biodiversity Genomics		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Paul D.N. Hebert		Linnaeus, 1758			Leg		Paul Hebert					BIOUG:PDH-home	light trap				Temperate mixed forest					43.537	-80.134			320				Canada	Ontario	Wellington County	Puslinch Township	Concession 11/Hume Rd	12660|12661	http://www.boldsystems.org/pics/XAB/EOS20D_IMG_8174.JPG|http://www.boldsystems.org/pics/XAB/EOS20D_IMG_8172.JPG	Lateral|Lateral	Lateral|Lateral	CBG Photography Group|CBG Photography Group	2010|2010	CreativeCommons - Attribution|CreativeCommons - Attribution	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	CBG Photography Group|CBG Photography Group
ANICT1127-11	11ANIC-07127	1891870	ANIC Database No. 31 045063	11ANIC-07127	Australian National Insect Collection			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			ANIC Curators		Linnaeus, 1758					D.J.Ferguson							A		S						-28.96	136.4							Australia	Australian Capital Territory			5km West `Granite Downs H.S. Oodnadatta Track Sout	1095654	http://www.boldsystems.org/pics/ANICT/11ANIC_07127+1301894578.JPG	Lateral		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ANICT1128-11	11ANIC-07128	1891871	ANIC Database No. 31 045064	11ANIC-07128	Australian National Insect Collection		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			ANIC Curators		Linnaeus, 1758					D.J.Ferguson							A		S						-35.27	149.066							Australia	Australian Capital Territory			Mt. Painter	1095655	http://www.boldsystems.org/pics/ANICT/11ANIC_07128+1301894592.JPG	Dorsal		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ANICT1129-11	11ANIC-07129	1891872	ANIC Database No. 31 045065	11ANIC-07129	Australian National Insect Collection		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis			ANIC Curators		Fabricius, 1775					T.Fenner,I.Haselgrove,I.Taylor,N.Scullion							A		S					NAQS Survey	-11.05	133							Australia	Northern Territory			McCluer I.	1095656	http://www.boldsystems.org/pics/ANICT/11ANIC_07129+1301894606.JPG	Dorsal		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ASARD2238-12	INB0003863026	2396440	INB0003863026	INB0003863026	Instituto Nacional de Biodiversidad, Costa Rica		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							Y. Cardenas							A	F	S						10.135	-85.353			100				Costa Rica	Guanacaste	Nicoya	Mansion	Finca El Pozo	1507121|1507120	http://www.boldsystems.org/pics/ASARD/INB0003863026-IACH001436+1327953440.jpg|http://www.boldsystems.org/pics/ASARD/INB0003863026-IACH001435+1327953440.jpg	Body|Body	|	National Biodiversity Institute of Costa Rica|National Biodiversity Institute of Costa Rica	2012|2012	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	National Biodiversity Institute of Costa Rica|National Biodiversity Institute of Costa Rica	|
ATLAS163-22	RVcoll18B208	15571572		RVcoll18B208	Institut de Biologia Evolutiva (CSIC-UPF), Butterfly Diversity and Evolution Lab		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758														S						28.403	-14.06							Spain													
ATLAS165-22	RVcoll15O501	15571574		RVcoll15O501	Institut de Biologia Evolutiva (CSIC-UPF), Butterfly Diversity and Evolution Lab		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758														S						36.684	-3.56							Spain													
BKKP005-18	1LPF005	9026116	1LPF005	1LPF005	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.731	100.541							Thailand	Bangkok	Bangkok Metropolitan Region		Lumphini Park	3527193	http://www.boldsystems.org/pics/BKKP/1LPF005+1502351910.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP510-18	2WRW001	9026621	2WRW001	2WRW001	Naresuan University		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.848	100.775							Thailand	Bangkok	Bangkok Metropolitan Region		Wareepirom Park	3528604	http://www.boldsystems.org/pics/BKKP/2WRW001+1502966666.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP632-18	3TBF006	9026743	3TBF006	3TBF006	Naresuan University		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.652	100.492							Thailand	Bangkok	Bangkok Metropolitan Region		Thonburirom Park	3528779	http://www.boldsystems.org/pics/BKKP/3TBF006+1503264412.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BLPEE7790-14	13-SRNP-21418	4755556	13-SRNP-21418	13-SRNP-21418	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				11.0323	-85.5278			290				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector El Hacha	Estacion Los Almendros	2445879|2445880	http://www.boldsystems.org/pics/BLPEE/13-SRNP-21418-DHJ583742+1412621766.jpg|http://www.boldsystems.org/pics/BLPEE/13-SRNP-21418-DHJ583743+1412621766.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2014|2014	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
DUDU002-13	SCABRIDanaidae1002	3352171		SCABRIDanaidae1002	African Butterfly Research Institute		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Steve C Collins	morphological	Linnaeus, 1758			legs		ABRI															-3.33863	23.4198	Coordinates from country centroid						Democratic Republic of the Congo		Kivu		Maliva	2060355	http://www.boldsystems.org/pics/DUDU/SCABRIDanaidae1002+1371492986.JPG	Dorsal		CBG Photography Group	2013	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
EULEP3756-16	RVcoll14V795	7377930	RVcoll14V795		Institut de Biologia Evolutiva (CSIC-UPF), Butterfly Diversity and Evolution Lab		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Vlad Dinca		Linnaeus, 1758												adult		S						28.6021	-9.4444			315				Morocco				Assa, edge of dry riverbed at SW edge of the town									
EZSPM286-09	SMcoll.140907FY95	1200284		SMcoll.140907FY95	Institut de Biologia Evolutiva (CSIC-UPF), Butterfly Diversity and Evolution Lab		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Sergio Montagud		Linnaeus, 1758					S. Montagud & J.A. Garcia - Alama							A	M	S					Specimen in Fundacion Entomologica Torres Sala	39.286	-0.283				1			Spain	Comunidad Valenciana	Valencia		El Perellonet, Sueca									
GBART37016-23	AF394672	19992303						20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	906763	Danaus affinis nubila																															Indonesia													
GBGL21783-19	KP007574	9757072	RMBR:AM-034		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							13.6622	101.087	Coordinates from country centroid						Thailand													
GBGL21813-19	AY569154	9757102			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	794067	Danaus plexippus megalippe																							-8.52272	-74.1142	Coordinates from country centroid						Peru													
GBGL21819-19	AY569139	9757108			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	216951	Danaus plexippus plexippus																							38.8208	-96.3316	Coordinates from country centroid						United States													
GBGL21824-19	AY569148	9757113			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	216951	Danaus plexippus plexippus																							23.8744	-101.554	Coordinates from country centroid						Mexico													
GBLN0110-06	AF394185	472658			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus					Cramer, 1777																												Cayman Islands	Grand Cayman	Grand Cayman											
GBLN0116-06	AF394191	472664			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																												Ghana													
GBLN4726-14	JX185863	5167108		JX185863	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																			isolate: NymANOCHR																						
GBMIN70704-17	KP007558	8410440	MCZ:DL-12-A023	KP007558	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794039	Danaus affinis affinis																							3.0091	128.114							Indonesia		Maluku, West Seram, Pelita Jaya											
GBMIN70718-17	KP007585	8410454	RMBR:CE-011	KP007585	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	794045	Danaus chrysippus alcippus																							8.66074	0.899086	Coordinates from country centroid						Togo		Yoh											
GBMIN70727-17	KP007606	8410463	MCZ:DL-12-A049	KP007606	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							10.5094	123.119							Philippines		Negros Occidental, Murcia, Barangay Minoyan, Mambukal											
GBMIN70763-17	KP007707	8410499	MCZ:TM-13-D001	KP007707	Mined from GenBank, NCBI		BOLD:AAZ7478	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus	742206	Danaus eresimus plexaure																							-20.6667	-58.4833							Paraguay		Presidente Hayes Department, Costa Esmeralda											
GBMIN70771-17	KP007649	8410507	MCZ:AM136	KP007649	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	794049	Danaus genutia intensa																							0.15592	113.965	Coordinates from country centroid						Indonesia		South Kalimantan, Sumpol											
GBMIN70772-17	KP007662	8410508	MCZ:RM16	KP007662	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	794049	Danaus genutia intensa																							0.15592	113.965	Coordinates from country centroid						Indonesia		Bali											
GBMIN70785-17	KP007674	8410521	MCZ:DL-10-X021	KP007674	Mined from GenBank, NCBI		BOLD:AAJ4334	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	27326	Danaus ismare	794059	Danaus ismare alba																							0.15592	113.965	Coordinates from country centroid						Indonesia		North Sulawesi, Sangir Island											
GBMIN70791-17	KP007679	8410527	MCZ:AM139	KP007679	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	724350	Danaus melanippus	794064	Danaus melanippus celebensis																							0.15592	113.965	Coordinates from country centroid						Indonesia		North Sulawesi, Toraut											
GBMIN85248-17	KP007697	8424985	BMNH:JTDL-042D	KP007697	Mined from GenBank, NCBI		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	791725	Danaus petilia																									-7.15691	144.835	Coordinates from country centroid						Papua New Guinea		Calvados chain, Panavalavalan											
GBMIN85252-17	KX110368	8424989		KX110368	Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				23.8744	-101.554	Coordinates from country centroid						Mexico		Michoacan											
GBMIN85253-17	KX110367	8424990		KX110367	Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				23.8744	-101.554	Coordinates from country centroid						Mexico		Michoacan											
